20	5
21	5
22	5
23	5
24	19
25	19
26	19
27	20
28	20
29	20
30	21
31	20
32	21
33	21
34	20
35	21
36	21
37	20
38	22
39	21
40	20
41	21
42	21
43	20
44	19
45	20
46	20
47	20
48	17
49	18
50	18
51	17
52	16
53	16
54	16
55	17
56	17
57	3
58	3
59	3
60	3
61	16
62	16
63	17
64	17
65	16
66	17
67	17
68	16
69	16
70	3
71	3
72	3
73	2
74	2
75	2
76	2
77	2
78	2
79	2
80	2
81	2
82	2
83	2
84	2
85	2
86	2
87	2
88	2
89	2
90	2
91	3
92	3
93	3
94	3
95	3
96	3
97	3
98	3
99	3
100	3
101	3
102	3
103	3
104	2
105	2
106	2
107	2
108	2
109	2
110	2
111	3
112	3
113	3
114	3
115	3
116	3
117	3
118	3
119	3
120	3
121	3
122	3
123	2
124	2
125	2
126	2
127	2
128	2
129	2
130	3
131	3
132	3
133	3
134	3
135	3
136	3
137	3
138	3
139	3
140	3
141	3
142	2
143	2
144	2
145	2
146	2
147	2
148	2
149	2
150	2
151	2
152	3
153	3
154	3
155	3
156	3
157	3
158	3
159	2
160	2
161	2
162	2
163	2
164	10
165	10
166	10
167	11
168	11
169	11
170	11
171	10
172	10
173	11
174	11
175	11
176	12
177	12
178	12
179	19
180	20
181	21
182	22
183	22
184	22
185	21
186	21
187	18
188	17
189	21
190	17
191	17
192	17
193	17
194	18
195	18
196	18
197	19
198	19
199	19
200	20
201	19
202	20
203	19
204	17
205	18
206	18
207	17
208	17
209	17
210	17
211	16
212	16
213	16
214	16
215	6
216	6
217	6
218	6
219	6
220	5
221	5
222	5
223	5
224	4
225	4
226	4
227	11
228	4
229	4
230	4
231	3
232	3
233	3
234	3
235	3
236	3
237	3
238	3
239	3
240	3
241	3
242	4
243	4
244	4
245	4
246	4
247	4
248	4
249	3
250	3
251	3
252	3
253	15
254	16
255	15
256	16
257	15
258	23
259	15
260	22
261	23
262	23
263	23
264	23
265	17
266	4
267	5
268	16
269	16
270	5
271	5
272	16
273	5
274	15
275	4
276	16
277	17
278	16
279	16
280	5
281	6
282	7
283	7
284	7
285	7
286	7
287	6
288	6
289	6
290	6
291	7
292	7
293	7
294	7
295	7
296	7
297	7
298	8
299	7
300	7
301	7
302	7
303	7
304	7
305	8
306	8
307	8
308	13
309	13
310	12
311	12
312	14
313	14
314	13
315	13
316	14
317	14
318	14
319	9
320	13
321	14
322	13
323	9
324	9
325	9
326	9
327	9
328	9
329	8
330	8
331	9
332	7
333	7
334	7
335	7
336	8
337	8
338	8
339	5
340	5
341	5
342	5
343	6
344	6
345	7
346	6
347	5
348	5
349	5
350	5
351	5
352	5
353	5
354	5
355	5
356	5
357	4
358	4
359	4
360	5
361	5
362	5
363	5
364	5
365	5
366	5
367	22
368	5
369	4
370	22
371	22
372	23
373	5
374	5
375	5
376	5
377	5
378	5
379	5
